Symbol_hg	Symbol_mm	ID
8109	SMIM23	Smim23	SMIM23_Smim23
8110	NECAB1	Necab1	NECAB1_Necab1
8111	SLC38A4	Slc38a4	SLC38A4_Slc38a4
8112	SPACA4	Spaca4	SPACA4_Spaca4
8113	GLRX2	Glrx2	GLRX2_Glrx2
8114	WDFY1	Wdfy1	WDFY1_Wdfy1
8115	SMCO2	Smco2	SMCO2_Smco2
8116	MOCS3	Mocs3	MOCS3_Mocs3
8117	ZPBP2	Zpbp2	ZPBP2_Zpbp2
8118	C8G	C8g	C8G_C8g
8119	TMEM89	Tmem89	TMEM89_Tmem89
8120	DNAJB13	Dnajb13	DNAJB13_Dnajb13
8121	CDHR4	Cdhr4	CDHR4_Cdhr4
8122	C1orf21	1700025G04Rik	C1orf21_1700025G04Rik
8123	PLAC8L1	Plac8l1	PLAC8L1_Plac8l1
8124	DNAJC17	Dnajc17	DNAJC17_Dnajc17
8125	C1orf100	1700016C15Rik	C1orf100_1700016C15Rik
8126	DENND6B	Dennd6b	DENND6B_Dennd6b
8127	LYZL6	Lyzl6	LYZL6_Lyzl6
8128	PRSS56	Prss56	PRSS56_Prss56
8129	CLIC3	Clic3	CLIC3_Clic3
8130	COMMD10	Commd10	COMMD10_Commd10
8131	UBL7	Ubl7	UBL7_Ubl7
8132	TMCO2	Tmco2	TMCO2_Tmco2
8133	TMEM127	Tmem127	TMEM127_Tmem127
8134	KRTAP3-1	Krtap3-1	KRTAP3-1_Krtap3-1
8135	C15orf61	2300009A05Rik	C15orf61_2300009A05Rik
8136	C4orf47	1700029J07Rik	C4orf47_1700029J07Rik
8137	TTC9	Ttc9	TTC9_Ttc9
8138	ACTL9	Actl9	ACTL9_Actl9
8139	NUP35	Nup35	NUP35_Nup35
8140	NDUFAF5	Ndufaf5	NDUFAF5_Ndufaf5
8141	DYDC1	Dydc1	DYDC1_Dydc1
8142	TSR2	Tsr2	TSR2_Tsr2
8143	ETDB	Etd	ETDB_Etd
8144	KLK12	Klk12	KLK12_Klk12
8145	RWDD2A	Rwdd2a	RWDD2A_Rwdd2a
8146	ESAM	Esam	ESAM_Esam
8147	MRPS9	Mrps9	MRPS9_Mrps9
8148	C16orf46	1700030J22Rik	C16orf46_1700030J22Rik
8149	KRTAP26-1	Krtap26-1	KRTAP26-1_Krtap26-1
8150	AVPI1	Avpi1	AVPI1_Avpi1
8151	TEN1	Ten1	TEN1_Ten1
8152	HEMK1	Hemk1	HEMK1_Hemk1
8153	DNASE1L1	Dnase1l1	DNASE1L1_Dnase1l1
8154	ANTXR1	Antxr1	ANTXR1_Antxr1
8155	TRNP1	Trnp1	TRNP1_Trnp1
8156	KLK10	Klk10	KLK10_Klk10
8157	LYG1	Lyg1	LYG1_Lyg1
8158	C6orf15	2300002M23Rik	C6orf15_2300002M23Rik
8159	CAPNS2	Capns2	CAPNS2_Capns2
8160	WDR5B	Wdr5b	WDR5B_Wdr5b
8161	NKPD1	Nkpd1	NKPD1_Nkpd1
8162	C1orf53	2310009B15Rik	C1orf53_2310009B15Rik
8163	BST2	Bst2	BST2_Bst2
8164	C1orf198	2310022B05Rik	C1orf198_2310022B05Rik
8165	RIPOR3	Ripor3	RIPOR3_Ripor3
8166	KLHDC2	Klhdc2	KLHDC2_Klhdc2
8167	BOD1	Bod1	BOD1_Bod1
8168	CDK13	Cdk13	CDK13_Cdk13
8169	MRLN	Mrln	MRLN_Mrln
8170	NMRK2	Nmrk2	NMRK2_Nmrk2
8171	VKORC1L1	Vkorc1l1	VKORC1L1_Vkorc1l1
8172	MFSD3	Mfsd3	MFSD3_Mfsd3
8173	HILPDA	Hilpda	HILPDA_Hilpda
8174	CMBL	Cmbl	CMBL_Cmbl
8175	SMCO1	Smco1	SMCO1_Smco1
8176	FASTKD3	Fastkd3	FASTKD3_Fastkd3
8177	RHOU	Rhou	RHOU_Rhou
8178	PLEKHM2	Plekhm2	PLEKHM2_Plekhm2
8179	TNFSF13	Tnfsf13	TNFSF13_Tnfsf13
8180	HJV	Hjv	HJV_Hjv
8181	PCGF3	Pcgf3	PCGF3_Pcgf3
8182	GPX8	Gpx8	GPX8_Gpx8
8183	ODAM	Odam	ODAM_Odam
8184	AP5S1	Ap5s1	AP5S1_Ap5s1
8185	AFG3L2	Afg3l2	AFG3L2_Afg3l2
8186	DAB2IP	Dab2ip	DAB2IP_Dab2ip
8187	OTOP3	Otop3	OTOP3_Otop3
8188	LNPK	Lnpk	LNPK_Lnpk
8189	MTFMT	Mtfmt	MTFMT_Mtfmt
8190	SEC24D	Sec24d	SEC24D_Sec24d
8191	KANSL2	Kansl2	KANSL2_Kansl2
8192	PITRM1	Pitrm1	PITRM1_Pitrm1
8193	FAM89A	Fam89a	FAM89A_Fam89a
8194	ARHGEF12	Arhgef12	ARHGEF12_Arhgef12
8195	CLYBL	Clybl	CLYBL_Clybl
8196	DAPK1	Dapk1	DAPK1_Dapk1
8197	ENHO	Enho	ENHO_Enho
8198	EXOSC8	Exosc8	EXOSC8_Exosc8
8199	FAM83G	Fam83g	FAM83G_Fam83g
8200	WDR20	Wdr20	WDR20_Wdr20
8201	MLIP	Mlip	MLIP_Mlip
8202	DCTN2	Dctn2	DCTN2_Dctn2
8203	CD164L2	Cd164l2	CD164L2_Cd164l2
8204	PIR	Pir	PIR_Pir
8205	TMBIM1	Tmbim1	TMBIM1_Tmbim1
8206	C6orf136	2310061I04Rik	C6orf136_2310061I04Rik
8207	DDX51	Ddx51	DDX51_Ddx51
8208	UPK3BL1	Upk3bl	UPK3BL1_Upk3bl
8209	PSMG4	Psmg4	PSMG4_Psmg4
8210	CCDC115	Ccdc115	CCDC115_Ccdc115
8211	TMEM52	Tmem52	TMEM52_Tmem52
8212	TXNDC15	Txndc15	TXNDC15_Txndc15
8213	MIF4GD	Mif4gd	MIF4GD_Mif4gd
8214	PXDN	Pxdn	PXDN_Pxdn
8215	IL36B	Il1f8	IL36B_Il1f8
8216	EMC10	Emc10	EMC10_Emc10
8217	AARSD1	Aarsd1	AARSD1_Aarsd1
8218	HDDC2	Hddc2	HDDC2_Hddc2
8219	POF1B	Pof1b	POF1B_Pof1b
8220	TATDN1	Tatdn1	TATDN1_Tatdn1
8221	CAMSAP3	Camsap3	CAMSAP3_Camsap3
8222	SLC52A3	Slc52a3	SLC52A3_Slc52a3
8223	COL22A1	Col22a1	COL22A1_Col22a1
8224	NDUFAF1	Ndufaf1	NDUFAF1_Ndufaf1
8225	LRR1	Lrr1	LRR1_Lrr1
8226	IQCG	Iqcg	IQCG_Iqcg
8227	PTRHD1	Ptrhd1	PTRHD1_Ptrhd1
8228	ARAP1	Arap1	ARAP1_Arap1
8229	PIN4	Pin4	PIN4_Pin4
8230	TFPT	Tfpt	TFPT_Tfpt
8231	TRIP13	Trip13	TRIP13_Trip13
8232	IPMK	Ipmk	IPMK_Ipmk
8233	CAD	Cad	CAD_Cad
8234	NKIRAS1	Nkiras1	NKIRAS1_Nkiras1
8235	RPAIN	Rpain	RPAIN_Rpain
8236	RNASEH2A	Rnaseh2a	RNASEH2A_Rnaseh2a
8237	SMYD3	Smyd3	SMYD3_Smyd3
8238	USP46	Usp46	USP46_Usp46
8239	GEMIN7	Gemin7	GEMIN7_Gemin7
8240	NUP37	Nup37	NUP37_Nup37
8241	TTL	Ttl	TTL_Ttl
8242	DPH5	Dph5	DPH5_Dph5
8243	TM2D2	Tm2d2	TM2D2_Tm2d2
8244	CASZ1	Casz1	CASZ1_Casz1
8245	POLD4	Pold4	POLD4_Pold4
8246	ZSWIM7	Zswim7	ZSWIM7_Zswim7
8247	ALDH16A1	Aldh16a1	ALDH16A1_Aldh16a1
8248	ZNF511	Zfp511	ZNF511_Zfp511
8249	FBXO7	Fbxo7	FBXO7_Fbxo7
8250	LENG1	Leng1	LENG1_Leng1
8251	TNFAIP8L2	Tnfaip8l2	TNFAIP8L2_Tnfaip8l2
8252	BDH2	Bdh2	BDH2_Bdh2
8253	TIMM29	Timm29	TIMM29_Timm29
8254	SMAP2	Smap2	SMAP2_Smap2
8255	C12orf75	1500009L16Rik	C12orf75_1500009L16Rik
8256	TPRKB	Tprkb	TPRKB_Tprkb
8257	ANXA13	Anxa13	ANXA13_Anxa13
8258	MED30	Med30	MED30_Med30
8259	MED6	Med6	MED6_Med6
8260	COX11	Cox11	COX11_Cox11
8261	TMEM147	Tmem147	TMEM147_Tmem147
8262	SLC39A11	Slc39a11	SLC39A11_Slc39a11
8263	TRIM32	Trim32	TRIM32_Trim32
8264	C11orf53	1810046K07Rik	C11orf53_1810046K07Rik
8265	KRTCAP3	Krtcap3	KRTCAP3_Krtcap3
8266	MZB1	Mzb1	MZB1_Mzb1
8267	MTERF4	Mterf4	MTERF4_Mterf4
8268	FYTTD1	Fyttd1	FYTTD1_Fyttd1
8269	GLOD5	Glod5	GLOD5_Glod5
8270	MS4A10	Ms4a10	MS4A10_Ms4a10
8271	POLR2F	Polr2f	POLR2F_Polr2f
8272	RAB43	Rab43	RAB43_Rab43
8273	PLA2G12B	Pla2g12b	PLA2G12B_Pla2g12b
8274	PCGF1	Pcgf1	PCGF1_Pcgf1
8275	WNK4	Wnk4	WNK4_Wnk4
8276	TCF23	Tcf23	TCF23_Tcf23
8277	EIF1AD	Eif1ad	EIF1AD_Eif1ad
8278	C11orf86	2010003K11Rik	C11orf86_2010003K11Rik
8279	TTC39B	Ttc39b	TTC39B_Ttc39b
8280	A1CF	A1cf	A1CF_A1cf
8281	POLR3GL	Polr3gl	POLR3GL_Polr3gl
8282	PPP1R35	Ppp1r35	PPP1R35_Ppp1r35
8283	NDUFA11	Ndufa11	NDUFA11_Ndufa11
8284	THAP3	Thap3	THAP3_Thap3
8285	SNRPF	Snrpf	SNRPF_Snrpf
8286	INTS14	Ints14	INTS14_Ints14
8287	AUNIP	Aunip	AUNIP_Aunip
8288	ZNF219	Zfp219	ZNF219_Zfp219
8289	COA7	Coa7	COA7_Coa7
8290	FAM241B	Fam241b	FAM241B_Fam241b
8291	MFSD11	Mfsd11	MFSD11_Mfsd11
8292	MRTO4	Mrto4	MRTO4_Mrto4
8293	RASIP1	Rasip1	RASIP1_Rasip1
8294	SLC25A32	Slc25a32	SLC25A32_Slc25a32
8295	RAB3B	Rab3b	RAB3B_Rab3b
8296	NUP43	Nup43	NUP43_Nup43
8297	NABP2	Nabp2	NABP2_Nabp2
8298	POLR2I	Polr2i	POLR2I_Polr2i
8299	VRK2	Vrk2	VRK2_Vrk2
8300	AGK	Agk	AGK_Agk
8301	DNAH17	Dnah17	DNAH17_Dnah17
8302	CENPS	Cenps	CENPS_Cenps
8303	TRMT10B	Trmt10b	TRMT10B_Trmt10b
8304	SCRN1	Scrn1	SCRN1_Scrn1
8305	EXOC1	Exoc1	EXOC1_Exoc1
8306	RNF113A	Rnf113a1	RNF113A_Rnf113a1
8307	FARS2	Fars2	FARS2_Fars2
8308	PTCD3	Ptcd3	PTCD3_Ptcd3
8309	CDC16	Cdc16	CDC16_Cdc16
8310	RPP25L	Rpp25l	RPP25L_Rpp25l
8311	METTL18	Mettl18	METTL18_Mettl18
8312	GALK2	Galk2	GALK2_Galk2
8313	TMEM30A	Tmem30a	TMEM30A_Tmem30a
8314	SPINK2	Spink2	SPINK2_Spink2
8315	SI	Sis	SI_Sis
8316	SPACA9	Spaca9	SPACA9_Spaca9
8317	CHN2	Chn2	CHN2_Chn2
8318	RSC1A1	Rsc1a1	RSC1A1_Rsc1a1
8319	ACE2	Ace2	ACE2_Ace2
8320	CEP85	Cep85	CEP85_Cep85
8321	INO80B	Ino80b	INO80B_Ino80b
8322	NT5DC2	Nt5dc2	NT5DC2_Nt5dc2
8323	MCM10	Mcm10	MCM10_Mcm10
8324	ACOT7	Acot7	ACOT7_Acot7
8325	TSPO2	Tspo2	TSPO2_Tspo2
8326	DOP1B	Dop1b	DOP1B_Dop1b
8327	CMTM8	Cmtm8	CMTM8_Cmtm8
8328	TUT1	Tut1	TUT1_Tut1
8329	C10orf99	2610528A11Rik	C10orf99_2610528A11Rik
8330	TRNT1	Trnt1	TRNT1_Trnt1
8331	PRPF4	Prpf4	PRPF4_Prpf4
8332	CCDC89	Ccdc89	CCDC89_Ccdc89
8333	DEGS2	Degs2	DEGS2_Degs2
8334	SPATA3	Spata3	SPATA3_Spata3
8335	SDR9C7	Sdr9c7	SDR9C7_Sdr9c7
8336	CTAG1A	Ctag2	CTAG1A_Ctag2
8337	ANKRD60	Ankrd60	ANKRD60_Ankrd60
8338	NOL7	Nol7	NOL7_Nol7
8339	IGSF23	Igsf23	IGSF23_Igsf23
8340	LYSMD2	Lysmd2	LYSMD2_Lysmd2
8341	METRN	Metrn	METRN_Metrn
8342	CYSLTR2	Cysltr2	CYSLTR2_Cysltr2
8343	MEAF6	Meaf6	MEAF6_Meaf6
8344	UBE2Q1	Ube2q1	UBE2Q1_Ube2q1
8345	SASH1	Sash1	SASH1_Sash1
8346	SMC4	Smc4	SMC4_Smc4
8347	ZNHIT1	Znhit1	ZNHIT1_Znhit1
8348	IFI35	Ifi35	IFI35_Ifi35
8349	ODF3B	Odf3b	ODF3B_Odf3b
8350	SRRD	Srrd	SRRD_Srrd
8351	YARS2	Yars2	YARS2_Yars2
8352	MLLT3	Mllt3	MLLT3_Mllt3
8353	DPF3	Dpf3	DPF3_Dpf3
8354	SLC44A4	Slc44a4	SLC44A4_Slc44a4
8355	LRCH3	Lrch3	LRCH3_Lrch3
8356	METTL7A	Mettl7a1	METTL7A_Mettl7a1
8357	C9orf64	2210016F16Rik	C9orf64_2210016F16Rik
8358	OGFRL1	Ogfrl1	OGFRL1_Ogfrl1
8359	VPS36	Vps36	VPS36_Vps36
8360	LYPD8	Lypd8	LYPD8_Lypd8
8361	LIPN	Lipn	LIPN_Lipn
8362	ABHD17C	Abhd17c	ABHD17C_Abhd17c
8363	FAM162A	Fam162a	FAM162A_Fam162a
8364	TACO1	Taco1	TACO1_Taco1
8365	MED23	Med23	MED23_Med23
8366	TMEM143	Tmem143	TMEM143_Tmem143
8367	KIF18B	Kif18b	KIF18B_Kif18b
8368	PPIL3	Ppil3	PPIL3_Ppil3
8369	GORASP2	Gorasp2	GORASP2_Gorasp2
8370	CD2BP2	Cd2bp2	CD2BP2_Cd2bp2
8371	POC1A	Poc1a	POC1A_Poc1a
8372	BHLHB9	Bhlhb9	BHLHB9_Bhlhb9
8373	RNF168	Rnf168	RNF168_Rnf168
8374	GTF3C5	Gtf3c5	GTF3C5_Gtf3c5
8375	UFSP1	Ufsp1	UFSP1_Ufsp1
8376	PSMD1	Psmd1	PSMD1_Psmd1
8377	DAZAP1	Dazap1	DAZAP1_Dazap1
8378	CHP2	Chp2	CHP2_Chp2
8379	KYAT1	Kyat1	KYAT1_Kyat1
8380	RPF1	Rpf1	RPF1_Rpf1
8381	MKRN2OS	Mkrn2os	MKRN2OS_Mkrn2os
8382	AFAP1	Afap1	AFAP1_Afap1
8383	RNF126	Rnf126	RNF126_Rnf126
8384	TBC1D13	Tbc1d13	TBC1D13_Tbc1d13
8385	GCC2	Gcc2	GCC2_Gcc2
8386	FUZ	Fuz	FUZ_Fuz
8387	PLSCR3	Plscr3	PLSCR3_Plscr3
8388	CACTIN	Cactin	CACTIN_Cactin
8389	RABEP2	Rabep2	RABEP2_Rabep2
8390	HDAC8	Hdac8	HDAC8_Hdac8
8391	NDUFAB1	Ndufab1	NDUFAB1_Ndufab1
8392	ARL16	Arl16	ARL16_Arl16
8393	PIGW	Pigw	PIGW_Pigw
8394	REEP6	Reep6	REEP6_Reep6
8395	IYD	Iyd	IYD_Iyd
8396	UBE3D	Ube2cbp	UBE3D_Ube2cbp
8397	COPB1	Copb1	COPB1_Copb1
8398	BASP1	Basp1	BASP1_Basp1
8399	PPP4R1	Ppp4r1	PPP4R1_Ppp4r1
8400	SECISBP2L	Secisbp2l	SECISBP2L_Secisbp2l
8401	GPRC5C	Gprc5c	GPRC5C_Gprc5c
8402	ST13	St13	ST13_St13
8403	KCNIP1	Kcnip1	KCNIP1_Kcnip1
8404	STEAP1	Steap1	STEAP1_Steap1
8405	GTPBP3	Gtpbp3	GTPBP3_Gtpbp3
8406	LMAN1	Lman1	LMAN1_Lman1
8407	ACTL10	Actl10	ACTL10_Actl10
8408	FAM135B	Fam135b	FAM135B_Fam135b
8409	BAG5	Bag5	BAG5_Bag5
8410	FBLN7	Fbln7	FBLN7_Fbln7
8411	GPATCH2L	Gpatch2l	GPATCH2L_Gpatch2l
8412	ICA1L	Ica1l	ICA1L_Ica1l
8413	DERL3	Derl3	DERL3_Derl3
8414	MOSPD1	Mospd1	MOSPD1_Mospd1
8415	TECPR1	Tecpr1	TECPR1_Tecpr1
8416	KCTD2	Kctd2	KCTD2_Kctd2
8417	COX10	Cox10	COX10_Cox10
8418	SPDL1	Spdl1	SPDL1_Spdl1
8419	TTC9C	Ttc9c	TTC9C_Ttc9c
8420	ASB12	Asb12	ASB12_Asb12
8421	KPTN	Kptn	KPTN_Kptn
8422	ASNSD1	Asnsd1	ASNSD1_Asnsd1
8423	TMEM70	Tmem70	TMEM70_Tmem70
8424	CALML3	Calml3	CALML3_Calml3
8425	POLR3F	Polr3f	POLR3F_Polr3f
8426	STK26	Stk26	STK26_Stk26
8427	MEGF10	Megf10	MEGF10_Megf10
8428	ARPIN	Arpin	ARPIN_Arpin
8429	INTS2	Ints2	INTS2_Ints2
8430	TSPAN15	Tspan15	TSPAN15_Tspan15
8431	CSNK1G3	Csnk1g3	CSNK1G3_Csnk1g3
8432	TEKT5	Tekt5	TEKT5_Tekt5
8433	MIER2	Mier2	MIER2_Mier2
8434	POLR3B	Polr3b	POLR3B_Polr3b
8435	TBCE	Tbce	TBCE_Tbce
8436	RUFY2	Rufy2	RUFY2_Rufy2
8437	DRAXIN	Draxin	DRAXIN_Draxin
8438	INF2	Inf2	INF2_Inf2
8439	TAF15	Taf15	TAF15_Taf15
8440	CD248	Cd248	CD248_Cd248
8441	UNC13D	Unc13d	UNC13D_Unc13d
8442	DHRS13	Dhrs13	DHRS13_Dhrs13
8443	CENPL	Cenpl	CENPL_Cenpl
8444	MPC2	Mpc2	MPC2_Mpc2
8445	CRTC3	Crtc3	CRTC3_Crtc3
8446	WDR77	Wdr77	WDR77_Wdr77
8447	CKAP2L	Ckap2l	CKAP2L_Ckap2l
8448	RPRD1B	Rprd1b	RPRD1B_Rprd1b
8449	ATAD2	Atad2	ATAD2_Atad2
8450	MIPEP	Mipep	MIPEP_Mipep
8451	PNMA1	Pnma1	PNMA1_Pnma1
8452	SLC35D2	Slc35d2	SLC35D2_Slc35d2
8453	ATP6AP2	Atp6ap2	ATP6AP2_Atp6ap2
8454	ARHGAP17	Arhgap17	ARHGAP17_Arhgap17
8455	DDO	Ddo	DDO_Ddo
8456	BBX	Bbx	BBX_Bbx
8457	RNF167	Rnf167	RNF167_Rnf167
8458	EEF2KMT	Eef2kmt	EEF2KMT_Eef2kmt
8459	STAMBP	Stambp	STAMBP_Stambp
8460	LRFN2	Lrfn2	LRFN2_Lrfn2
8461	BTF3L4	Btf3l4	BTF3L4_Btf3l4
8462	QPCT	Qpct	QPCT_Qpct
8463	TMEM242	Tmem242	TMEM242_Tmem242
8464	ZDHHC2	Zdhhc2	ZDHHC2_Zdhhc2
8465	TLN2	Tln2	TLN2_Tln2
8466	TMTC4	Tmtc4	TMTC4_Tmtc4
8467	LRRC56	Lrrc56	LRRC56_Lrrc56
8468	SLC25A33	Slc25a33	SLC25A33_Slc25a33
8469	WARS2	Wars2	WARS2_Wars2
8470	TXNDC16	Txndc16	TXNDC16_Txndc16
8471	PRXL2A	Prxl2a	PRXL2A_Prxl2a
8472	FRA10AC1	Fra10ac1	FRA10AC1_Fra10ac1
8473	CPNE3	Cpne3	CPNE3_Cpne3
8474	TCERG1L	Tcerg1l	TCERG1L_Tcerg1l
8475	IPO5	Ipo5	IPO5_Ipo5
8476	TBCCD1	Tbccd1	TBCCD1_Tbccd1
8477	CPM	Cpm	CPM_Cpm
8478	GFOD2	Gfod2	GFOD2_Gfod2
8479	ZC3H11A	Zc3h11a	ZC3H11A_Zc3h11a
8480	PAK4	Pak4	PAK4_Pak4
8481	C17orf75	5730455P16Rik	C17orf75_5730455P16Rik
8482	FILIP1	Filip1	FILIP1_Filip1
8483	ITPRID2	Itprid2	ITPRID2_Itprid2
8484	ECD	Ecd	ECD_Ecd
8485	MUTYH	Mutyh	MUTYH_Mutyh
8486	DNAJB14	Dnajb14	DNAJB14_Dnajb14
8487	ZDHHC24	Zdhhc24	ZDHHC24_Zdhhc24
8488	FBXO33	Fbxo33	FBXO33_Fbxo33
8489	TMEM230	Tmem230	TMEM230_Tmem230
8490	ANKRD24	Ankrd24	ANKRD24_Ankrd24
8491	SUGP1	Sugp1	SUGP1_Sugp1
8492	FAM241A	Fam241a	FAM241A_Fam241a
8493	UBE2V2	Ube2v2	UBE2V2_Ube2v2
8494	MED26	Med26	MED26_Med26
8495	FAM189A1	Fam189a1	FAM189A1_Fam189a1
8496	DCP2	Dcp2	DCP2_Dcp2
8497	OIP5	Oip5	OIP5_Oip5
8498	NAA30	Naa30	NAA30_Naa30
8499	ZCCHC8	Zcchc8	ZCCHC8_Zcchc8
8500	TMEM144	Tmem144	TMEM144_Tmem144
8501	SIK3	Sik3	SIK3_Sik3
8502	PRDM16	Prdm16	PRDM16_Prdm16
8503	VCPIP1	Vcpip1	VCPIP1_Vcpip1
8504	GULP1	Gulp1	GULP1_Gulp1
8505	ABRAXAS1	Abraxas1	ABRAXAS1_Abraxas1
8506	UTP20	Utp20	UTP20_Utp20
8507	DUSP16	Dusp16	DUSP16_Dusp16
8508	ADGRA3	Adgra3	ADGRA3_Adgra3
8509	NUP205	Nup205	NUP205_Nup205
8510	NIPAL1	Nipal1	NIPAL1_Nipal1
8511	GPR137C	Gpr137c	GPR137C_Gpr137c
8512	MEDAG	Medag	MEDAG_Medag
8513	ARHGAP45	Arhgap45	ARHGAP45_Arhgap45
8514	ANGPTL6	Angptl6	ANGPTL6_Angptl6
8515	RASGEF1A	Rasgef1a	RASGEF1A_Rasgef1a
8516	NOS1AP	Nos1ap	NOS1AP_Nos1ap
8517	CGN	Cgn	CGN_Cgn
8518	TSPAN2	Tspan2	TSPAN2_Tspan2
8519	KDSR	Kdsr	KDSR_Kdsr
8520	HACD2	Hacd2	HACD2_Hacd2
8521	DCLK2	Dclk2	DCLK2_Dclk2
8522	PRPF3	Prpf3	PRPF3_Prpf3
8523	NOLC1	Nolc1	NOLC1_Nolc1
8524	GPR173	Gpr173	GPR173_Gpr173
8525	PRDM5	Prdm5	PRDM5_Prdm5
8526	RASL12	Rasl12	RASL12_Rasl12
8527	DENND1C	Dennd1c	DENND1C_Dennd1c
8528	KLHL30	Klhl30	KLHL30_Klhl30
8529	KYNU	Kynu	KYNU_Kynu
8530	UBR5	Ubr5	UBR5_Ubr5
8531	HARS2	Hars2	HARS2_Hars2
8532	ZDHHC1	Zdhhc1	ZDHHC1_Zdhhc1
8533	ANKIB1	Ankib1	ANKIB1_Ankib1
8534	CEP192	Cep192	CEP192_Cep192
8535	PWWP2A	Pwwp2a	PWWP2A_Pwwp2a
8536	PGRMC2	Pgrmc2	PGRMC2_Pgrmc2
8537	ARRDC2	Arrdc2	ARRDC2_Arrdc2
8538	KRT25	Krt25	KRT25_Krt25
8539	C7orf31	4921507P07Rik	C7orf31_4921507P07Rik
8540	HMGXB4	Hmgxb4	HMGXB4_Hmgxb4
8541	TRAK2	Trak2	TRAK2_Trak2
8542	CCDC93	Ccdc93	CCDC93_Ccdc93
8543	SPAG9	Spag9	SPAG9_Spag9
8544	PRSS22	Prss22	PRSS22_Prss22
8545	P2RY12	P2ry12	P2RY12_P2ry12
8546	SLC22A16	Slc22a16	SLC22A16_Slc22a16
8547	KRT28	Krt28	KRT28_Krt28
8548	TTC6	Ttc6	TTC6_Ttc6
8549	VWA3B	Vwa3b	VWA3B_Vwa3b
8550	LRRC63	Lrrc63	LRRC63_Lrrc63
8551	SPATA16	Spata16	SPATA16_Spata16
8552	CNBD2	Cnbd2	CNBD2_Cnbd2
8553	ARMC3	Armc3	ARMC3_Armc3
8554	CCDC81	Ccdc81	CCDC81_Ccdc81
8555	INTS10	Ints10	INTS10_Ints10
8556	DMRTC1B	Dmrtc1a	DMRTC1B_Dmrtc1a
8557	SPDYA	Spdya	SPDYA_Spdya
8558	TTLL7	Ttll7	TTLL7_Ttll7
8559	GLB1L3	Glb1l3	GLB1L3_Glb1l3
8560	EFCAB3	Efcab3	EFCAB3_Efcab3
8561	FAM71D	Fam71d	FAM71D_Fam71d
8562	C9orf153	4921517D22Rik	C9orf153_4921517D22Rik
8563	C10orf67	4921504E06Rik	C10orf67_4921504E06Rik
8564	PHYHIPL	Phyhipl	PHYHIPL_Phyhipl
8565	NSUN7	Nsun7	NSUN7_Nsun7
8566	TEX47	Tex47	TEX47_Tex47
8567	CDKN2AIP	Cdkn2aip	CDKN2AIP_Cdkn2aip
8568	TRIM69	Trim69	TRIM69_Trim69
8569	NOL8	Nol8	NOL8_Nol8
8570	C1orf141	4921539E11Rik	C1orf141_4921539E11Rik
8571	MMRN1	Mmrn1	MMRN1_Mmrn1
8572	CCDC178	Ccdc178	CCDC178_Ccdc178
8573	SPATA1	Spata1	SPATA1_Spata1
8574	TEX19	Tex19.2	TEX19_Tex19.2
8575	EVA1C	Eva1c	EVA1C_Eva1c
8576	PGM2L1	Pgm2l1	PGM2L1_Pgm2l1
8577	CCDC105	Ccdc105	CCDC105_Ccdc105
8578	CABS1	Cabs1	CABS1_Cabs1
8579	FANCD2OS	Fancd2os	FANCD2OS_Fancd2os
8580	C11orf54	4931406C07Rik	C11orf54_4931406C07Rik
8581	JHY	Jhy	JHY_Jhy
8582	PRSS54	Prss54	PRSS54_Prss54
8583	SPEF1	Spef1	SPEF1_Spef1
8584	PHF6	Phf6	PHF6_Phf6
8585	NAA40	Naa40	NAA40_Naa40
8586	PRSS41	Prss41	PRSS41_Prss41
8587	C10orf90	D7Ertd443e	C10orf90_D7Ertd443e
8588	SPATS1	Spats1	SPATS1_Spats1
8589	PRSS55	Prss55	PRSS55_Prss55
8590	PCGF6	Pcgf6	PCGF6_Pcgf6
8591	C16orf86	4933405L10Rik	C16orf86_4933405L10Rik
8592	HEXIM2	Hexim2	HEXIM2_Hexim2
8593	TEKT3	Tekt3	TEKT3_Tekt3
8594	ZNF597	Zfp597	ZNF597_Zfp597
8595	HSFY2	Hsfy2	HSFY2_Hsfy2
8596	STOX2	Stox2	STOX2_Stox2
8597	ADAM30	Adam30	ADAM30_Adam30
8598	ARHGAP19	Arhgap19	ARHGAP19_Arhgap19
8599	CXorf49B	4933412E24Rik	CXorf49B_4933412E24Rik
8600	CDKL1	Cdkl1	CDKL1_Cdkl1
8601	ATOH8	Atoh8	ATOH8_Atoh8
8602	SNTG1	Sntg1	SNTG1_Sntg1
8603	TSSK4	Tssk4	TSSK4_Tssk4
8604	UVSSA	Uvssa	UVSSA_Uvssa
8605	GLT6D1	Glt6d1	GLT6D1_Glt6d1
8606	GPR39	Gpr39	GPR39_Gpr39
8607	STX18	Stx18	STX18_Stx18
8608	SH2D6	Sh2d6	SH2D6_Sh2d6
8609	ZNF689	Zfp689	ZNF689_Zfp689
8610	CABYR	Cabyr	CABYR_Cabyr
8611	RFX4	Rfx4	RFX4_Rfx4
8612	TMEM217	Tmem217	TMEM217_Tmem217
8613	SCARA5	Scara5	SCARA5_Scara5
8614	GOLGA7B	Golga7b	GOLGA7B_Golga7b
8615	OXSM	Oxsm	OXSM_Oxsm
8616	MIER1	Mier1	MIER1_Mier1
8617	TEX52	Tex52	TEX52_Tex52
8618	ERI2	Eri2	ERI2_Eri2
