"","sample_name","title","source_name","organism","donor_id","donor_sex","donor_genotype","injection_type","injection_target","injected_material","dissected_region","dissected_layer","facs_gating","facs_date","rna_amplification_set","sequencing_tube","sequencing_batch","sequencing_qc_pass_fail","cell_class","cell_subclass","cell_cluster","molecule","SRA_Run","GEO_Sample","GEO_Sample_Title","iegsum_activity","tPC1_score","scaled.tPC1_score","scaled.iegsum_activity","Fos","Arc","Npas4","Dusp1","Fosb","Nr4a1","Igf1","Gpd1"
"18129","F2S4_161010_015_G01","F2S4_161010_015_G01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Myh8 Fibin","polyA RNA","SRR7338492","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",52.7334119597359,-1.67891590972323,-0.250926191594628,-1.34846160133596,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.0523805290269729,-0.775497946516473
"18130","F2S4_161010_015_H01","F2S4_161010_015_H01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Chodl","polyA RNA","SRR7338493","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",74.7909307955503,-9.62340512136927,-0.24199668609413,-0.606483355576343,-1.11469236483278,2.93507173291421,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.560363215297264,-0.775497946516473
"18131","F2S4_161010_016_A01","F2S4_161010_016_A01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Pvalb","Pvalb Gabrg1","polyA RNA","SRR7338494","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",75.9238784535953,2.16584938237308,-0.501140059925291,-0.568372880771314,0.388076699974173,-0.320633569434866,0.117532321355683,1.18787754327631,-0.444875322622506,-0.304880100787652,0.218915539786765,-0.775497946516473
"18132","F2S4_161010_016_B01","F2S4_161010_016_B01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Crhr2 Efemp1","polyA RNA","SRR7338496","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",133.73986453783,-23.8955120325214,-0.741384778256909,1.37646072680517,0.773663167072816,2.25115684337393,-0.373510623367559,0.860230243271638,-0.444875322622506,0.819246182114719,0.119676231282841,0.44810788830332
"18133","F2S4_161010_016_C01","F2S4_161010_016_C01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Myh8 Fibin","polyA RNA","SRR7338497","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",84.7604847329988,0.480168970811815,-0.423630781559122,-0.271124143301601,0.769511439439339,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.476832817937744,-0.775497946516473
"18134","F2S4_161010_016_D01","F2S4_161010_016_D01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Pvalb","Pvalb Th Sst","polyA RNA","SRR7338498","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",89.7974061894604,-19.7310623387838,-0.840524062269665,-0.101690483327743,0.620747397552291,-0.320633569434866,-0.373510623367559,0.665911424014196,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"18135","F2S4_161010_016_E01","F2S4_161010_016_E01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Esm1","polyA RNA","SRR7338499","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",122.359851756761,-18.0583084621683,-0.43760132103357,0.993656025022044,0.96906044893639,-0.320633569434866,-0.373510623367559,1.16874004890153,-0.444875322622506,-0.758551398604891,0.297348545980726,-0.775497946516473
"18136","F2S4_161010_016_F01","F2S4_161010_016_F01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Rxfp1 Prdm8","polyA RNA","SRR7338500","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",94.32351856743,-14.9090401369261,-0.467962664348694,0.0505604088652646,0.872777415030114,-0.320633569434866,-0.373510623367559,0.467304076858312,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"18137","F2S4_161010_016_G01","F2S4_161010_016_G01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Sst","Sst Crhr2 Efemp1","polyA RNA","SRR7338501","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",105.831243330368,-41.3277751369586,-1.03208668860892,0.437661129297401,0.202184822990488,2.68433652763328,-0.373510623367559,-1.21288044395544,-0.444875322622506,0.723413910647521,0.106454928060799,-0.775497946516473
"18138","F2S4_161010_016_H01","F2S4_161010_016_H01","Primary Visual Cortex (VISp)","Mus musculus","274152","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161012_04","LS-15577","R8S4-161027","Pass","GABAergic","Pvalb","Pvalb Calb1 Sst","polyA RNA","SRR7338502","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",95.7842597051093,-19.9927002380519,-1.21296735515635,0.0996973111121457,0.169806571472479,-0.320633569434866,-0.373510623367559,0.444189713283079,-0.444875322622506,-0.758551398604891,-0.491375555736694,-0.03661525955337
"18163","F2S4_161010_022_A01","F2S4_161010_022_A01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Rxfp1 Prdm8","polyA RNA","SRR7338503","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",63.2383627660417,-16.4598542838351,-0.600646318558819,-0.995092528908914,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"18164","F2S4_161010_022_B01","F2S4_161010_022_B01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Crh 4930553C11Rik","polyA RNA","SRR7338504","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",58.7520407513622,-17.700759389949,-0.816387795169255,-1.14600493946344,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.421319199464986,-0.444875322622506,0.265321699032783,0.6226694991189,-0.775497946516473
"18165","F2S4_161010_022_C01","F2S4_161010_022_C01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Nts","polyA RNA","SRR7338505","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",100.742098480178,-7.95468886329061,-0.51907324646232,0.266470761220761,0.828644357288572,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.981848697100769,0.0332118235101606
"18166","F2S4_161010_022_D01","F2S4_161010_022_D01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Nts","polyA RNA","SRR7338507","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",120.599347635677,-23.4800165916275,-0.575358215104968,0.93443559460383,0.972066837670692,-0.320633569434866,-0.373510623367559,-0.992574163748397,0.807704804050276,0.709288946017047,0.343674014264536,-0.775497946516473
"18167","F2S4_161010_022_E01","F2S4_161010_022_E01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Esm1","polyA RNA","SRR7338508","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",100.106981734214,-32.1147633850083,-0.590950643376129,0.245106490264857,-0.940880736842087,0.0985114305959741,-0.373510623367559,0.711120790517287,-0.444875322622506,-0.0375166801386049,-0.204890142515056,-0.775497946516473
"18168","F2S4_161010_022_F01","F2S4_161010_022_F01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Rxfp1 Prdm8","polyA RNA","SRR7338509","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",70.7631068559266,-28.1374374841864,-0.765937709220005,-0.741972653497654,0.356619947448167,-0.320633569434866,0.046873182657074,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"18169","F2S4_161010_022_G01","F2S4_161010_022_G01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Pvalb","Pvalb Gabrg1","polyA RNA","SRR7338510","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",88.9836605640184,8.86324321557776,-0.554308327793351,-0.129063532679046,0.829828882420874,-0.320633569434866,-0.373510623367559,1.20773314857832,-0.444875322622506,0.383363480452261,-1.15121956809205,-0.775497946516473
"18170","F2S4_161010_022_H01","F2S4_161010_022_H01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Crhr2 Efemp1","polyA RNA","SRR7338511","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",81.4057809379441,-14.7956905546376,-0.899364054690015,-0.38397079914833,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.668019814603799,-0.444875322622506,0.317922245842831,-0.304435571166131,-0.775497946516473
"18171","F2S4_161010_023_A01","F2S4_161010_023_A01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L6","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Crhr2 Efemp1","polyA RNA","SRR7338512","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",93.7748676993968,-25.2180423095037,-0.858405984213506,0.0321047062258171,0.047343864550399,-0.320633569434866,-0.373510623367559,0.208877242714977,-0.444875322622506,-0.758551398604891,0.0717159859817558,-0.775497946516473
"18172","F2S4_161010_023_B01","F2S4_161010_023_B01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Esm1","polyA RNA","SRR7338513","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",79.2159571196096,-26.2209131908409,-0.900380803554297,-0.457632830102248,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.35958927874256,-0.0775205743730842
"18173","F2S4_161010_023_C01","F2S4_161010_023_C01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Myh8 Etv1","polyA RNA","SRR7338514","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",141.590646612562,4.40672547136144,-0.345586952117424,1.64054797773353,1.30204868442086,-0.320633569434866,-0.373510623367559,1.0994674336719,2.88758453700323,1.67912837958051,0.0828972259976343,-0.775497946516473
"18174","F2S4_161010_023_D01","F2S4_161010_023_D01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Myh8 Etv1","polyA RNA","SRR7338515","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",85.9842319247157,-18.6883964187755,-0.797038970167821,-0.229959323209097,0.860045243633346,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.354855062453705,-0.775497946516473
"18175","F2S4_161010_023_E01","F2S4_161010_023_E01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Hpse Sema3c","polyA RNA","SRR7338516","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",75.7052797144208,-20.2357579451218,-1.0167152317568,-0.575726178765768,-1.11469236483278,3.67777601404405,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.17066283825593,-0.775497946516473
"18176","F2S4_161010_023_F01","F2S4_161010_023_F01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Myh8 Fibin","polyA RNA","SRR7338518","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",101.172632439975,3.7030549572508,-0.343198857612829,0.280953207528892,0.465055569848556,-0.320633569434866,3.73682763411509,0.811040676546218,-0.444875322622506,-0.758551398604891,0.803558075416913,-0.775497946516473
"18177","F2S4_161010_023_G01","F2S4_161010_023_G01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Rxfp1 Prdm8","polyA RNA","SRR7338519","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",73.39741239063,-21.3278604649485,-0.628603444828675,-0.653358996903584,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.352754581724126,-0.444875322622506,-0.244577831443683,-1.70586161731121,-0.775497946516473
"18178","F2S4_161010_023_H01","F2S4_161010_023_H01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Calb2 Pdlim5","polyA RNA","SRR7338520","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",108.166711947687,-31.9582880661469,-1.08797837144646,0.516222409040767,-1.11469236483278,3.58773707558669,-0.373510623367559,0.706895315237295,-0.444875322622506,1.03452583157794,-0.199107547833044,-0.775497946516473
"18180","F2S4_161010_024_B01","F2S4_161010_024_B01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Myh8 Etv1","polyA RNA","SRR7338522","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",66.9261017179916,-22.3080148144298,-0.797560041457672,-0.87104312431566,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.0409419798700091,-0.45280505733774
"18181","F2S4_161010_024_C01","F2S4_161010_024_C01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Crhr2 Efemp1","polyA RNA","SRR7338523","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",88.6362915786193,-15.4236158613668,-0.838042554999253,-0.14074844757524,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.593853539922813,-0.444875322622506,-0.758551398604891,0.117959673487332,-0.600948223298371
"18182","F2S4_161010_024_D01","F2S4_161010_024_D01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Glra3","polyA RNA","SRR7338524","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",77.3341541055962,-5.41391647578007,-0.465163929947399,-0.520933553524311,0.724919019015611,-0.320633569434866,-0.373510623367559,-0.967221522135,-0.444875322622506,-0.758551398604891,0.478955825708222,-0.775497946516473
"18183","F2S4_161010_024_E01","F2S4_161010_024_E01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Hpse Sema3c","polyA RNA","SRR7338525","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",49.0305743702433,8.15473354865658,-0.520070199752944,-1.47301889898285,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.820618334879858,-0.444875322622506,-0.758551398604891,-1.195503164372,-0.775497946516473
"18184","F2S4_161010_024_F01","F2S4_161010_024_F01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Ptgdr","polyA RNA","SRR7338526","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",75.4429947672823,-13.2125534989955,-0.900998393298111,-0.584549008133636,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.649725679296134,-0.444875322622506,-0.758551398604891,0.202278266916591,0.00935656447794234
"18185","F2S4_161010_024_G01","F2S4_161010_024_G01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Glra3","polyA RNA","SRR7338527","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",43.5133661255631,-1.00515090686747,-0.460928710560056,-1.65860860765995,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.323219637240711,-0.775497946516473
"18186","F2S4_161010_024_H01","F2S4_161010_024_H01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Glra3","polyA RNA","SRR7338529","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",72.7859043195446,-10.640364659523,-0.583237908293506,-0.673929111304443,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"18187","F2S4_161010_025_A01","F2S4_161010_025_A01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Ptgdr","polyA RNA","SRR7338530","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",107.271100688064,-8.53531983105181,-0.65998301616804,0.486095535921253,0.364423744023296,3.1952014495867,-0.373510623367559,0.943089708736754,0.29228288083795,1.12237295507901,-0.0280251243136086,-0.775497946516473
"18188","F2S4_161010_025_B01","F2S4_161010_025_B01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Hpse Sema3c","polyA RNA","SRR7338531","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",94.6077315464697,-28.266841848055,-0.839732079697627,0.0601208607537869,-1.11469236483278,3.06220692335546,3.22362101464179,0.408488164403342,-0.444875322622506,1.14452307356,-0.123987995507095,-0.775497946516473
"18189","F2S4_161010_025_C01","F2S4_161010_025_C01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Ptgdr","polyA RNA","SRR7338532","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",90.1134323044748,-27.4254618099973,-0.888958087934453,-0.0910598904592508,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.665930761987371,-0.444875322622506,0.674348402790041,0.348256965014221,-0.775497946516473
"18190","F2S4_161010_025_D01","F2S4_161010_025_D01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Calb2 Necab1","polyA RNA","SRR7338533","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",123.832598976882,-9.5469113422322,-0.776586373003026,1.04319679191274,1.11453215415838,3.82165544089145,-0.373510623367559,0.622465245098371,-0.444875322622506,-0.758551398604891,-0.189062119256193,0.508503806486219
"18191","F2S4_161010_025_E01","F2S4_161010_025_E01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Calb2 Pdlim5","polyA RNA","SRR7338534","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",119.054956315296,-16.4512306053656,-0.902242780144508,0.882484839344717,0.163226126239467,1.30464606795506,-0.373510623367559,0.791849062058248,-0.444875322622506,-0.758551398604891,-0.0762623159004828,-0.775497946516473
"18192","F2S4_161010_025_F01","F2S4_161010_025_F01","Primary Visual Cortex (VISp)","Mus musculus","274153","M","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","10/10/2016","A8S4_161013_01","LS-15579","R8S4-161028","Pass","GABAergic","Sst","Sst Chrna2 Ptgdr","polyA RNA","SRR7338535","GSM3189970","VISp_Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",65.4209213803594,10.2487116540715,-0.283692606483969,-0.921674887334032,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.425375048637007,-0.775497946516473
